"ID","trial","condition","inclusion","inclusion2","item","style","instruction","question","DT_confidence","DT_confidenceRT"
1,1,"Social",1,1,"19","Direct","TRUTH","Which MRT station is closest to your house?",0.287037037037037,5.49720517336391
1,2,"Social",1,1,"18","Direct","TRUTH","What was the last country you visited?",0.355555555555556,4.73554113507271
1,3,"Social",1,1,"14","Indirect","LIE","Is your favourite flavour Vanilla?",0.301851851851852,4.49967951886356
1,4,"Social",1,1,"21","Indirect","LIE","Are you from Nanyang Business School in NTU?",0.315740740740741,3.76635416271165
1,5,"Social",1,1,"17","Indirect","LIE","Did you celebrate your 21st birthday at MBS?",0.269444444444444,2.2662168595707
1,6,"Social",1,1,"20","Direct","TRUTH","Which floor of the building is your house on?",0.315740740740741,2.5027332326863
1,7,"Social",1,1,"26","Direct","LIE","How often do you smoke?",0.321296296296296,2.48267509054858
1,8,"Social",1,1,"1","Indirect","LIE","Are you from Temasek Primary School?",0.333333333333333,2.20024490018841
1,9,"Social",1,1,"2","Direct","TRUTH","Which secondary school did you attend?",0.268518518518518,2.95006749674212
1,10,"Social",1,1,"23","Indirect","TRUTH","Are you studying Linguistics and Multilingual Studies course in NTU?",0.5,2.40049268770963
1,11,"Social",0,0,"27","Indirect","TRUTH","Do you drink alcohol socially?",0.507407407407407,2.53554934763815
1,12,"Social",1,1,"30","Indirect","LIE","Do you use a Acer laptop?",0.413888888888889,2.64966373541392
1,13,"Social",1,1,"16","Indirect","TRUTH","Do you have 2 siblings?",0.522222222222222,2.20097023341805
1,14,"Social",1,1,"2","Direct","LIE","Which secondary school did you attend?",0.334259259259259,2.96686725341715
1,15,"Social",1,1,"7","Direct","TRUTH","What is your favourite sport?",0.516666666666667,2.4176247951109
1,16,"Social",1,1,"23","Direct","LIE","What course are you studying?",0.371296296296296,2.71609797037672
1,17,"Social",1,0,"26","Indirect","TRUTH","Do you smoke regularly?",0.491666666666667,2.86677191103809
1,18,"Social",1,0,"30","Indirect","TRUTH","Do you use a Lenovo laptop?",0.352777777777778,3.08346304425504
1,19,"Social",1,1,"29","Direct","TRUTH","What brand of handphone do you use?",0.52962962962963,5.0171763781691
1,20,"Social",1,1,"22","Indirect","TRUTH","Are you in your 1st year in NTU?",0.50462962962963,2.30002906464506
1,21,"Social",1,1,"7","Indirect","LIE","Is your favourite sport Hockey?",0.367592592592593,3.23346137604676
1,22,"Social",1,1,"14","Direct","TRUTH","What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",0.366666666666667,2.73339978209697
1,23,"Social",1,1,"20","Indirect","LIE","Is your house on the 3rd floor of the building?",0.332407407407407,2.54929314507172
1,24,"Social",1,1,"19","Direct","LIE","Which MRT station is closest to your house?",0.362037037037037,2.43267104844563
1,25,"Social",1,1,"10","Indirect","LIE","Do you hate eating Eggplant the most?",0.358333333333333,3.93473893776536
1,26,"Social",1,1,"22","Indirect","LIE","Are you in your 3rd year in NTU?",0.359259259259259,3.33273514464963
1,27,"Social",1,1,"10","Direct","TRUTH","What food do you hate the most?",0.388888888888889,2.58314801682718
1,28,"Social",1,0,"6","Indirect","TRUTH","Were you in the Volleyball CCA during secondary school?",0.398148148148148,2.55072584643494
1,29,"Social",1,0,"27","Direct","LIE","How frequently do you drink alcohol?",0.337037037037037,2.98291697516106
1,30,"Social",1,1,"15","Indirect","LIE","Are you from Hwa Chong Institution (College)?",0.425,2.7493221454788
1,31,"Social",1,1,"17","Direct","TRUTH","Where did you celebrate your 21st birthday?",0.385185185185185,3.96621634624898
1,32,"Social",1,1,"21","Indirect","TRUTH","Are you from the School of Humanities in NTU?",0.385185185185185,2.00159534811974
1,33,"Social",1,1,"28","Direct","LIE","What religion do you practice?",0.492592592592593,1.98174701048993
1,34,"Social",1,1,"28","Direct","TRUTH","What religion do you practice?",0.526851851851852,1.89867855259217
1,35,"Social",1,1,"1","Indirect","TRUTH","Are you from Tao Nan Primary School?",0.490740740740741,2.31585999950767
1,36,"Social",1,1,"6","Indirect","LIE","Were you in the Infocomm Club CCA during secondary school?",0.332407407407407,2.7001419228036
1,37,"Social",1,1,"18","Indirect","LIE","Was the last country you visited Malaysia?",0.488888888888889,2.03359470132273
1,38,"Social",1,1,"16","Indirect","LIE","Do you have 4 siblings?",0.457407407407407,5.1337663945742
1,39,"Social",1,1,"29","Direct","LIE","What brand of handphone do you use?",0.35462962962963,3.13406602363102
1,40,"Social",1,1,"15","Indirect","TRUTH","Are you from Singapore Polytechnic?",0.517592592592593,2.6830303465249
1,41,"Polygraph",1,1,"30","Direct","LIE","What brand of laptop do you mainly use?",0.49537037037037,3.00123989954591
